"STATISTIC","Statistic Label","TLIST(A1)","Year","C02480V03003","Type of Offence","UNIT","VALUE"
"RCD04C01","Crime incident detection rates","2023","2023","1021","Possession of drugs for sale or supply","%","67"
"RCD04C01","Crime incident detection rates","2023","2023","1022","Possession of drugs for personal use","%","85"
"RCD04C01","Crime incident detection rates","2023","2023","103","Other Drug Offences","%","85"
"RCD04C01","Crime incident detection rates","2023","2023","11","Weapons and Explosives Offences","%","71"
"RCD04C01","Crime incident detection rates","2023","2023","111","Explosives, Chemical Weapons offences","%","10"
"RCD04C01","Crime incident detection rates","2023","2023","112","Firearms offences","%","33"
"RCD04C01","Crime incident detection rates","2023","2023","113","Offensive weapons offences (nec)","%","81"
"RCD04C01","Crime incident detection rates","2023","2023","114","Fireworks Offences","%","32"
"RCD04C01","Crime incident detection rates","2023","2023","12","Damage to property and the environment","%","20"
"RCD04C01","Crime incident detection rates","2023","2023","1211","Arson","%","11"
"RCD04C01","Crime incident detection rates","2023","2023","1212","Criminal damage (not arson)","%","21"
"RCD04C01","Crime incident detection rates","2023","2023","1221","Litter offences","%","10"
"RCD04C01","Crime incident detection rates","2023","2023","13","Public order and other social code offences","%","82"
"RCD04C01","Crime incident detection rates","2023","2023","131","Disorderly conduct","%","86"
"RCD04C01","Crime incident detection rates","2023","2023","132","Trespass offences","%","50"
"RCD04C01","Crime incident detection rates","2023","2023","133","Liquor licensing offences","%","65"
"RCD04C01","Crime incident detection rates","2023","2023","134","Prostitution offences","%","73"
"RCD04C01","Crime incident detection rates","2023","2023","135","Regulated Betting/Money, Collection/Trading Offences","%","66"
"RCD04C01","Crime incident detection rates","2023","2023","136","Other social code offences (nec)","%","73"
"RCD04C01","Crime incident detection rates","2023","2023","15","Offences against Government, Justice Procedures and Organisation of Crime","%","63"
